#	mutation	transfection	pair	slice	hemi	animal	id	peak	decay	charge	rise	dt50	fwhm
46	R540H	-	23	10	R	2	R 18-08-20 s2 p1	150.8528	74.8824	14.754	5.19655	33.0644	40.2133
47	R540H	+	24	6	L	2	L 18-08-20 s0 p0	46.0368	223.852	11.9763	4.98309	102.04	111.139
48	R540H	-	24	6	L	2	L 18-08-20 s0 p0	120.5384	71.2436	13.8568	4.21771	30.075	37.6324
49	R540H	+	25	7	L	2	L 18-08-20 s1 p1	18.83278	102.922	6.45823	4.90309	118.519	128.547
50	R540H	-	25	7	L	2	L 18-08-20 s1 p1	92.5152	83.5632	14.121	4.92037	32.8593	40.1604
51	R540H	+	26	7	L	2	L 18-08-20 s1 p0	13.93962	329.059	3.04371	4.7659	30.8225	41.8085
52	R540H	-	26	7	L	2	L 18-08-20 s1 p0	65.8082	74.7285	8.1184	4.81182	29.0187	36.6667
53	R540H	+	27	3	R	1	R 17-08-20 s0 p0	47.6116	216.528	10.7528	5.1028	66.7886	79.5969
54	R540H	-	27	3	R	1	R 17-08-20 s0 p0	102.8762	58.1005	7.22002	4.00017	25.0521	32.7276
55	R540H	+	28	4	R	1	R 17-08-20 s1 p1	34.129	542.297	11.2812	5.69671	172.168	190.433
56	R540H	-	28	4	R	1	R 17-08-20 s1 p1	64.897	67.2756	5.95916	4.44665	32.7823	39.2465
57	R540H	+	29	1	L	1	L 17-08-20 s0 p0	16.11674	168.73	2.98227	10.5616	80.9057	95.2945
58	R540H	-	29	1	L	1	L 17-08-20 s0 p0	139.5052	61.3319	13.654	3.78178	31.7747	38.8426
59	R540H	-	30	2	L	1	L 17-08-20 s1 p1 c2	86.2106	129.016	10.9333	5.08695	35.9549	44.5415
60	R540H	+	30	2	L	1	L 17-08-20 s1 p1 c2	49.9394	382.128	15.4733	6.99164	132.771	146.373
61	R540H	+	31	2	L	1	L 17-08-20 s1 p0	30.824	251.694	9.02936	6.22885	128.067	136.712
62	R540H	-	31	2	L	1	L 17-08-20 s1 p0	99.3866	76.5744	12.2125	5.09834	36.2113	44.2329
63	R696H	+	32	12	R	3	R 11-04-19 s0 p1	34.4998	337.451	11.5496	4.80579	120.735	127.326
64	R696H	-	32	12	R	3	R 11-04-19 s0 p1	113.4898	37.611	8.4327	3.89008	21.6631	28.9596
65	R696H	+	33	12	R	3	R 11-04-19 s0 p0	17.63482	260.714	5.21191	5.95643	117.91	128.057
66	R696H	-	33	12	R	3	R 11-04-19 s0 p0	63.6584	60.6449	5.4431	3.9792	23.4386	30.0843
67	R696H	+	34	10	L	3	L 11-04-19 s1 p1	14.72588	94.8914	1.65813	6.41645	43.2959	52.1308
68	R696H	-	34	10	L	3	L 11-04-19 s1 p1	118.3552	62.4232	10.0189	4.26739	26.8462	34.6996
69	R696H	+	35	10	L	3	L 11-04-19 s1 p0	65.426	251.727	23.731	6.07472	172.332	192.147
70	R696H	-	35	10	L	3	L 11-04-19 s1 p0	112.1282	48.2913	8.56054	4.83015	24.4447	32.7428
71	R696H	+	36	11	L	3	L 11-04-19 s2 p1	23.2886	199.493	5.23528	5.41116	46.579	59.45
72	R696H	-	36	11	L	3	L 11-04-19 s2 p1	93.9602	54.9586	6.02657	3.03452	23.8418	29.0737
73	R696H	+	37	11	L	3	L 11-04-19 s2 p0	27.0736	169.841	5.07953	3.95545	44.0792	51.183
74	R696H	-	37	11	L	3	L 11-04-19 s2 p0	133.6898	42.4033	8.56774	2.8832	21.6202	26.5812
75	R696H	+	38	7	R	2	R 07-04-19 S0 P1	28.6384	170.492	7.0588	5.48144	97.4706	111.304
76	R696H	-	38	7	R	2	R 07-04-19 S0 P1	118.4068	75.6071	10.769	4.24585	33.3736	39.2066
77	R696H	+	39	7	R	2	R 07-04-19 S0 P0	12.55218	287.743	2.67063	5.50897	68.734	78.1339
78	R696H	-	39	7	R	2	R 07-04-19 S0 P0	104.3762	44.8787	6.80686	3.17898	23.8199	29.0631
79	R696H	+	40	8	R	2	R 07-04-19 S1 P1	26.4086	110.655	3.26234	6.97018	30.3224	38.2464
80	R696H	-	40	8	R	2	R 07-04-19 S1 P1	162.5816	66.0854	12.8827	4.13834	26.052	32.4827
81	R696H	+	41	8	R	2	R 07-04-19 S1 P0	68.4876	212.69	21.096	5.3422	108.923	118.146
82	R696H	-	41	8	R	2	R 07-04-19 S1 P0	176.108	54.757	13.9615	3.63843	24.0994	30.0698
83	R696H	+	42	6	L	2	L 07-04-19 S1 P1	26.4008	210.701	7.86659	5.70844	152.456	158.208
84	R696H	-	42	6	L	2	L 07-04-19 S1 P1	121.1582	59.0843	10.0427	3.77632	25.6579	32.2582
85	R696H	+	43	6	L	2	L 07-04-19 S1 P0	28.943	166.918	5.98561	5.13205	86.8438	96.1292
86	R696H	-	43	6	L	2	L 07-04-19 S1 P1	163.554	43.0938	10.3818	3.32448	21.0564	27.127
87	R696H	+	44	4	R	1	R 19-03-19 S0 P0	53.8864	146.458	12.9784	4.92769	67.866	76.6528
88	R696H	-	44	4	R	1	R 19-03-19 S0 P0	101.1926	72.5487	10.7013	3.62273	33.5557	39.89
89	R696H	+	45	1	L	1	L 19-03-19 S0 P0	11.92696	313.745	4.58765	8.05153	140.264	148.824
90	R696H	-	45	1	L	1	L 19-03-19 S0 P0	97.8398	64.3074	9.22238	4.17454	31.5473	38.8624
91	R696H	+	46	2	L	1	L 19-03-19 S1 P0	43.7706	142.524	9.30146	5.39342	62.7844	74.4202
92	R696H	-	46	2	L	1	L 19-03-19 S1 P0	167.3094	79.0912	13.8609	4.00409	35.9315	42.4119
93	R696H	+	47	3	L	1	L 19-03-19 S2 P0	23.9958	306.607	9.19433	6.45948	127.716	139.542
94	R696H	-	47	3	L	1	L 19-03-19 S2 P0	115.274	79.633	12.9267	4.54078	35.6024	42.8847
95	C456Y	+	48	15	R	3	R 13-04-19 s0 p1	47.074	77.8181	5.03231	4.06468	28.4944	35.5805
96	C456Y	-	48	15	R	3	R 13-04-19 s0 p1	136.7534	56.7844	8.70321	3.58438	20.6618	26.7364
97	C456Y	+	49	15	R	3	R 13-04-19 s0 p0	98.8144	48.1069	9.12644	3.35308	28.1645	33.6307
98	C456Y	-	49	15	R	3	R 13-04-19 s0 p0	140.7592	47.9972	8.9561	3.17207	21.0899	26.0691
99	C456Y	+	50	12	R	3	R 12-04-19 s0 p0	35.4596	87.4179	4.29932	3.24583	34.8742	41.7882
100	C456Y	-	50	12	R	3	R 12-04-19 s0 p0	77.7232	51.5802	4.82637	2.94404	22.8352	29.0174
101	C456Y	+	51	13	L	3	L 13-04-19 s0 p1	7.95918	56.3118	0.766918	3.49416	17.7483	24.6576
102	C456Y	-	51	13	L	3	L 13-04-19 s0 p1	174.5282	56.4889	8.85362	2.92461	19.3836	24.6656
103	C456Y	+	52	13	L	3	L 13-04-19 s0 p0	20.8176	51.3828	2.2097	5.26941	28.013	34.9829
104	C456Y	-	52	13	L	3	L 13-04-19 s0 p0	150.6368	49.6681	11.3993	3.1437	22.438	27.7743
105	C456Y	+	53	14	L	3	L 13-04-19 s1 p1	22.1924	137.996	1.94242	5.60842	57.2688	71.0954
106	C456Y	-	53	14	L	3	L 13-04-19 s1 p1	176.4642	74.0299	14.8923	2.99147	31.0178	37.1719
107	C456Y	+	54	14	L	3	L 13-04-19 s1 p0	20.1362	149.22	1.39972	6.04555	50.7793	61.022
